^Email addresses are only listed for schools that agreed to have their email publicly released. Persons or organisations wishing to send email material to individuals or organisations whose email addresses appear in this directory must comply with the requirements of the Unsolicited Electronic Messages Act 2007.,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,
*Principal names are available for State and State Integrated Schools. Principal names for Private Schools are provided where available.  The most up to date information that we have available has been provided.  Recent changes may not be reflected.,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,
Directory of Schools - as at 5/11/2014,,Contact Details,,,,,Location,,,Postal Address,,,,,Institution Information,,,,Regional Information,,,,,,,,,,Decile and Indicative Roll information October 2014,,,,,,,,
School ID,Name,Telephone,Fax,Email^,Principal*,School website,Street,Suburb,City,Postal Address 1,Postal Address 2,Postal Address 3,Postal Code,Urban Area,School Type,Definition,Authority,Gender of Students,Territorial Authority with Auckland Local Board,Regional Council,Ministry of Education Local Office,Education Region,General Electorate,Maori Electorate,Census Area Unit,Ward,Longitude ,Latitude,Decile,Total School Roll,European/ Pakeha,Maori,Pasifika,Asian,MELAA,Other,International Students
3574,Waimate Main School,03 6898887,03 6898767,office@waimatemain.school.nz,Adam Rivett,http://www.waimatemain.school.nz,25 John Street,,Waimate,25 John Street,,Waimate,7924,Minor Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Waimate District,Canterbury Region,Christchurch,Canterbury,Waitaki,Te Tai Tonga,Waimate,Waimate Ward,171.046665,-44.736306,2,81,64,12,3,2,0,0,0
3575,Wainoni School,03 3888540,03 3888524,office@wainoni.org.nz,Audrie McKenzie,,115 Eureka Street,Wainoni,Christchurch,115 Eureka Street,Aranui,Christchurch,8061,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury,Christchurch East,Te Tai Tonga,Aranui,Burwood-Pegasus Ward,172.708166,-43.506196,1,90,38,40,11,1,0,0,0
3576,Waipara School,03 3146814,03 3146815,waipara@xtra.co.nz,Dianne Officer,http://www.waipara.school.nz,Loffhagen Drive,,Waipara,PO Box 11,,Waipara,7447,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Hurunui District,Canterbury Region,Christchurch,Canterbury,Kaikoura,Te Tai Tonga,Hurunui,Glenmark Ward,172.762053,-43.053621,6,49,43,6,0,0,0,0,0
3577,Wairakei School (Christchurch),03 3518033,03 3518035,office@wairakeichch.school.nz,Shane Buckner,http://www.wairakeichch.school.nz,250 Wairakei Road,Bryndwr,Christchurch,250 Wairakei Road,Bryndwr,Christchurch,8053,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury,Ilam,Te Tai Tonga,Aorangi,Fendalton-Waimairi Ward,172.588282,-43.500167,6,241,131,49,16,34,10,0,1
3579,Waituna Creek School,03 6897438,03 6897439,office@waitunacreek.school.nz,Emma Barker,http://www.waitunacreek.school.nz/,Waituna School Road,,Waimate,Waituna School Road,RD 8,Waimate,7978,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waimate District,Canterbury Region,Christchurch,Canterbury,Waitaki,Te Tai Tonga,Waihao,Waimate Ward,171.01671,-44.701004,5,36,28,7,0,1,0,0,0
3580,Wakanui School,03 3023899,03 3023896,office@wakanui.school.nz,Hilary Boyce,http://www.wakanui.school.nz,Wakanui School Road,,Ashburton,20 Wakanui School Road,RD 7,Ashburton,7777,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Canterbury,Rangitata,Te Tai Tonga,Chertsey,Eastern Ward,171.822857,-43.973865,8,93,76,5,0,12,0,0,0
3581,Waltham School,03 3793137,03 3793870,principal@waltham.school.nz,Gordon Caddie,http://www.waltham.school.nz,Hastings Street East,Waltham,Christchurch,Hastings Street East,Waltham,Christchurch,8023,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury,Christchurch Central,Te Tai Tonga,Waltham,Spreydon-Heathcote Ward,172.648613,-43.548989,2,177,72,52,27,20,6,0,0
3585,Weedons School,03 3478740,03 3477026,kathybell@weedons.school.nz,Kathleen Bell,http://www.weedons.school.nz,Weedons Ross Road,Weedons,Christchurch,Weedons Ross Road,RD 5,Christchurch,7675,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury,Selwyn,Te Tai Tonga,West Melton,Selwyn Central Ward,172.403181,-43.570608,10,146,128,16,1,1,0,0,0
3586,West Eyreton School,03 3125850,03 3125896,office@westeyreton.school.nz,Jillian Gallagher,http://www.westeyreton.school.nz,1651 North Eyre Road,West Eyreton,Rangiora,1651 North Eyre Road,RD 5,Rangiora,7475,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury,Waimakariri,Te Tai Tonga,West Eyreton,Oxford-Eyre Ward,172.360111,-43.349492,10,199,184,10,0,2,3,0,0
3587,West Melton School,03 3478448,03 3478459,office@westmelton.school.nz,Susan Jackson,http://westmelton.school.nz/,Weedons Ross Road,,West Melton,743 Weedons Ross Road,,West Melton,7618,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury,Selwyn,Te Tai Tonga,West Melton,Selwyn Central Ward,172.369386,-43.521443,10,380,347,18,3,6,2,4,0
3588,West Spreydon School,03 3388184,03 3388348,admin@westspreydon.school.nz,Marriene Langton,http://www.westspreydon.school.nz,147 Lyttelton Street,Spreydon,Christchurch,147 Lyttelton Street,Spreydon,Christchurch,8024,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury,Wigram,Te Tai Tonga,Barrington North,Spreydon-Heathcote Ward,172.611297,-43.559634,4,237,146,53,16,18,2,2,0
3589,Westburn School,03 3588173,03 3578479,admin@westburn.school.nz,David Brown,http://www.westburn.school.nz,257 Waimairi Road,Ilam,Christchurch,257 Waimairi Road,Ilam,Christchurch,8041,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury,Ilam,Te Tai Tonga,Westburn,Fendalton-Waimairi Ward,172.570887,-43.512146,9,486,267,19,3,175,13,3,6
3591,Wharenui School,03 3485263,03 3485243,helen.tuuta@wharenui.school.nz,Gretchen Smith,http://www.wharenui.school.nz,Matipo Street,Riccarton,Christchurch,Matipo Street,Riccarton,Christchurch,8041,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury,Wigram,Te Tai Tonga,Riccarton,Riccarton-Wigram Ward,172.596742,-43.536311,2,163,39,37,31,44,12,0,0
3592,Whataroa School,03 7534061,03 7534064,principal@whataroa.school.nz,Jennifer Bainbridge,http://www.whataroa.school.nz,65 Scally Road,,Whataroa,PO Box 50,,Whataroa,7857,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Westland District,West Coast Region,Nelson,Nelson/Marlborough/West Coast,West Coast-Tasman,Te Tai Tonga,Whataroa,Southern Ward,170.361348,-43.262545,7,30,19,10,0,1,0,0,0
3594,Longbeach School,03 3026643,03 3026871,office@longbeach.school.nz,Neil Simons,http://www.longbeach.school.nz,Longbeach Road,,Ashburton,Longbeach Road,RD 3,Ashburton,7773,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Canterbury,Rangitata,Te Tai Tonga,Hinds,Eastern Ward,171.683117,-43.979123,9,143,128,11,0,1,1,2,0
3597,Windwhistle School,03 3186828,03 3186928,windwhistleschool@gmail.com,Frances Nimmo,http://www.windwhistle.school.nz,11 Rakaia Gorge Road RD 2,,Darfield,11 Rakaia Gorge Road,RD 2,Darfield,7572,Rural Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury,Selwyn,Te Tai Tonga,Malvern,Malvern Ward,171.713285,-43.515524,9,23,20,3,0,0,0,0,0
3599,Woodbury School,03 6922817,03 6922818,office@woodbury.school.nz,Claire Haugh,http://www.woodbury.school.nz,559 Woodbury Road,,Geraldine,559 Woodbury Road,RD 21,Geraldine,7991,Rural Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Timaru District,Canterbury Region,Christchurch,Canterbury,Waitaki,Te Tai Tonga,Orari,Geraldine Ward,171.206998,-44.034925,8,83,76,6,0,1,0,0,0
3600,Woodend School,03 3127808,03 3122178,woodend.school@xtra.co.nz,Graeme Barber,http://www.woodend.school.nz/,Main North Road,,Woodend,PO Box 93,,Woodend,7641,Minor Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury,Waimakariri,Te Tai Tonga,Woodend,Woodend-Ashley Ward,172.665404,-43.324564,9,366,305,51,3,4,3,0,0
3601,Woolston School,03 3899305,03 3899366,office@woolston.school.nz,Janeane Reid,http://woolston.school.nz,476 Ferry Road,Woolston,Christchurch,476 Ferry Road,Woolston,Christchurch,8023,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury,Port Hills,Te Tai Tonga,Ensors,Hagley-Ferrymead Ward,172.672217,-43.545566,2,345,132,164,38,7,4,0,0
3602,Yaldhurst Model School,03 3427933,03 3427933,secretary@yaldhurst.school.nz,Allan Robertson,http://www.yaldhurst.school.nz,School Road,,Yaldhurst,School Road,RD 6,Christchurch,7676,Main Urban Area,Full Primary,Model School,State: Not integrated,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury,Selwyn,Te Tai Tonga,Yaldhurst,Fendalton-Waimairi Ward,172.502189,-43.510194,7,115,95,17,1,2,0,0,0
3700,Abbotsford School,03 4882642,03 4881119,office@abbotsford.school.nz,Stephanie Madden,http://www.abbotsford.school.nz,72 North Taieri Road,Abbotsford,Dunedin,PO Box 13211,Green Island,Dunedin,9052,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,Abbotsford,Central Ward,170.417989,-45.893498,7,273,229,31,6,3,3,1,0
3701,Alexandra School,03 4488340,03 4488340,admin@alexprim.school.nz,Adele Gott,http://www.alexprim.school.nz,Ventry Street,,Alexandra,Ventry Street,,Alexandra,9320,Minor Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Central Otago District,Otago Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Alexandra,Alexandra Ward,169.389801,-45.255325,8,189,157,27,3,2,0,0,0
3703,Andersons Bay School,03 4544413,03 4543263,admin@andybay.ac.nz,Hamish McDonald,http://www.andybay.ac.nz,92 Jeffery Street,Andersons Bay,Dunedin,92 Jeffery Street,Andersons Bay,Dunedin,9013,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,Andersons Bay,Central Ward,170.535455,-45.894907,10,302,252,27,2,16,2,3,0
3704,Ardgowan School,03 4331366,03 4331366,ardgowanoffice@gmail.com,Julie French,http://ardgowanschool.wikispaces.com,Ardgowan Road,,Oamaru,286 Ardgowan Road,RD 1D,Oamaru,9492,Secondary Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waitaki District,Otago Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Ardgowan,Oamaru Ward,170.967238,-45.061243,7,127,108,13,1,5,0,0,0
3706,Arthur Street School,03 4776524,03 4776987,secretary@arthurst.school.nz,Verity Harlick,http://www.arthurst.school.nz,26 Arthur Street,City Rise,Dunedin,26 Arthur Street,City Rise,Dunedin,9016,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,High St-Stuart St,Central Ward,170.49515,-45.872617,8,129,71,16,14,19,2,2,5
3707,Fenwick School,03 4348209,03 4340952,office@fenwick.school.nz,Lloyd Bokser,http://www.fenwick.school.nz,25A Arun Street,South Hill,Oamaru,25A Arun Street,South Hill,Oamaru,9400,Secondary Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Waitaki District,Otago Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Oamaru South,Oamaru Ward,170.962027,-45.105905,6,293,214,40,28,8,0,3,0
3709,Balaclava School,03 4884667,03 4880244,reception@balaclava.school.nz,Sally Direen,http://www.balaclava.school.nz/,2 Mercer Street,Balaclava,Dunedin,2 Mercer Street,Kenmure,Dunedin,9011,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,Kenmure,Central Ward,170.467181,-45.888608,8,258,215,25,3,11,0,4,0
3710,Balclutha School,03 419 0103,03 4182040,admin@balclutha.school.nz,Patrick Ford,http://www.balclutha.school.nz,Lanark Street,,Balclutha,19 Lanark Street,,Balclutha,9230,Minor Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Clutha District,Otago Region,Dunedin,Otago/Southland,Clutha-Southland,Te Tai Tonga,Balclutha,Balclutha Ward,169.742709,-46.240495,5,195,147,40,4,1,3,0,0
3711,Balmacewen Intermediate,03 4667251,03 4667252,office@balmacewen.school.nz,Andrew Hunter,http://www.balmacewen.school.nz,44 Chapman Street,Wakari,Dunedin,44 Chapman Street,Wakari,Dunedin,9010,Main Urban Area,Intermediate,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,Wakari,Central Ward,170.489862,-45.85924,9,482,376,50,19,22,7,8,0
3716,Bradford School,03 4536254,03 4536254,office@bradford.school.nz,Melissa Mitchell-Bain,http://www.bradford.school.nz,42A Bradford Street,Bradford,Dunedin,42A Bradford Street,Bradford,Dunedin,9011,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,Brockville,Central Ward,170.467373,-45.876146,4,109,82,17,6,3,0,1,0
3718,Broad Bay School,03 4780706,03 4780817,office@broadbay.school.nz,John Goulstone,http://www.broadbay.school.nz,4 Roebuck Rise,Broad Bay,Dunedin,4 Roebuck Rise,Broad Bay,Dunedin,9014,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,Broad Bay-Portobello,Central Ward,170.624151,-45.847673,9,49,44,5,0,0,0,0,0
3719,Brockville School,03 4763717,03 4763717,office@brockville.school.nz,Chris Cumberland,http://www.brockville.school.nz,Brockville Road,Brockville,Dunedin,263Brockville Road,Brockville,Dunedin,9011,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,Brockville,Central Ward,170.460266,-45.867409,2,134,66,52,14,2,0,0,0
3723,Clinton School,03 4157151,03 4157098,admin@clinton.school.nz,Vicki Neave,http://www.clinton.school.nz,Halsey Street,,Clinton,22 Halsey Street,,Clinton,9534,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Clutha District,Otago Region,Dunedin,Otago/Southland,Clutha-Southland,Te Tai Tonga,Clinton,Clinton Ward,169.381165,-46.200886,4,86,62,19,0,3,2,0,0
3724,Clutha Valley School,03 4159105,03 4159222,office@cluthavalley.school.nz,Valerie Ward,http://cluthavalley.school.nz,2155 Clutha Valley Road,,Greenfield,2155 Clutha Valley Road,RD 4,Balclutha,9274,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Clutha District,Otago Region,Dunedin,Otago/Southland,Clutha-Southland,Te Tai Tonga,Bruce,Clutha Valley Ward,169.550575,-46.093588,9,101,63,17,2,17,2,0,0
3725,Clyde School,03 4492761,03 4492761,office@clyde.school.nz,Douglas White,http://www.clydeschool.co.nz,25 Blyth Street,,Clyde,25 Blyth Street,,Clyde,9330,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Central Otago District,Otago Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Clyde,Earnscleugh-Manuherikia Ward,169.319284,-45.191106,9,127,105,12,4,3,3,0,0
3727,Concord School,03 4882204,03 4882204,office@concord.school.nz,Steve Turnbull,http://www.concord.school.nz,5 Thoreau Street,Concord,Dunedin,5 Thoreau Street,Concord,Dunedin,9018,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,Concord,Central Ward,170.454303,-45.903474,3,79,57,16,4,1,0,1,0
3729,Cromwell Primary School,03 4450264,03 4450238,teganw@cromprimary.school.nz,Wendy Brooks,http://www.cromprimary.school.nz,Molyneux Avenue,,Cromwell,61 Molyneux Avenue,,Cromwell,9310,Minor Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Central Otago District,Otago Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Cromwell,Cromwell Ward,169.203515,-45.045004,8,214,180,24,3,4,3,0,0
3731,Dunedin North Intermediate,03 4739027,03 4739611,office@dni.school.nz,Ross Leach,http://www.dni.school.nz,North Road,,Dunedin,PO Box 8016,Gardens,Dunedin,9041,Main Urban Area,Intermediate,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,North East Valley,Central Ward,170.522205,-45.853486,6,222,158,33,9,10,5,7,0
3732,Duntroon School,03 4312829,03 4312040,office@duntroon.school.nz,Rodney McLellan,http://www.duntroon.school.nz,Campbell Street,,Duntroon,1 Livingstone Street,RD 5K,Oamaru,9494,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waitaki District,Canterbury Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Duntroon,Corriedale Ward,170.686398,-44.856037,5,72,54,4,4,8,1,1,0
3733,East Taieri School,03 4896737,03 4896737,etaieri@east-taieri.school.nz,Jennifer Horgan,http://east-taieri.school.nz/,11 Cemetery Road,East Taieri,Mosgiel,11 Cemetery Road,East Taieri,Mosgiel,9024,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,East Taieri,Mosgiel-Taieri Ward,170.347121,-45.889789,9,316,290,18,1,3,3,1,0
3736,Fairfield School (Dunedin),03 4882040,03 4884126,office@fairfield.school.nz,Andrew Larson,http://www.fairfield.school.nz,10 Sickels Street,Fairfield,Dunedin,10 Sickels Street,Fairfield,Dunedin,9018,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,Fairfield,Central Ward,170.391366,-45.900545,10,400,344,42,2,8,3,1,0
3737,Pembroke School (Oamaru),03 4370931,03 4371056,office@pembroke.school.nz,Brent Godfery,http://www.pembroke.school.nz,Harlech Street,,Oamaru,Harlech Street,Oamaru North,Oamaru,9400,Secondary Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Waitaki District,Otago Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Oamaru North,Oamaru Ward,170.982551,-45.078166,3,241,159,25,50,5,2,0,0
3738,Five Forks School,03 4324110,03 4324110,,Catherine Bole,http://www.fiveforks.school.nz,1403 Kakanui Valley Road,,Waitaki,1403 Kakanui Valley Road,RD 15C,Oamaru,9491,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waitaki District,Otago Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Maheno,Corriedale Ward,170.770568,-45.050518,10,42,36,4,0,2,0,0,0
3739,Flagswamp School,03 4657296,03 4657297,principal@flagswamp.school.nz,Murray Oats,,445 Palmerston-Waikouati Road,,Waikouaiti,445 Palmerston-Waikouaiti Road,RD 2,Waikouaiti,9472,Rural Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Waitaki District,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,Nenthorn,Waihemo Ward,170.7029,-45.546513,7,10,8,2,0,0,0,0,0
3740,George Street Normal School,03 4740825,03 4740826,office@georgestreet.school.nz,Roderick Galloway,http://www.georgestreet.school.nz,George Street,,Dunedin,989 George Street,Dunedin Central,Dunedin,9016,Main Urban Area,Contributing,Normal School,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,North Dunedin,Central Ward,170.511824,-45.858338,9,474,327,35,17,61,19,6,9
3741,Goldfields School (Cromwell),03 4450326,03 4451891,office@goldfields.school.nz,Sharon Booth,http://www.goldfields.school.nz,Gilling Place,,Cromwell,25B Gilling Place,,Cromwell,9310,Minor Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Central Otago District,Otago Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Cromwell,Cromwell Ward,169.186586,-45.043384,7,240,195,33,3,8,0,1,0
3742,Grants Braes School,03 4544717,03 4544717,office@grantsbraes.school.nz,Christopher McKinlay,http://www.grantsbraes.school.nz,137 Belford Street,Waverley,Dunedin,137 Belford Street,Waverley,Dunedin,9013,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,Vauxhall,Central Ward,170.53346,-45.884426,10,195,148,24,4,15,1,2,1
3743,Green Island School,03 4882314,03 4884470,secretary@greenisland.school.nz,Steven Hayward,http://www.greenisland.school.nz,3 Howden Street,Green Island,Dunedin,3 Howden Street,Green Island,Dunedin,9018,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,Green Island,Central Ward,170.429455,-45.90477,4,202,171,19,4,6,1,1,0
3745,Halfway Bush School,03 4763207,03 4763207,office@hwb.school.nz,Brian Filipo,http://www.hwb.school.nz,54 Ashmore Street,Halfway Bush,Dunedin,PO Box 10063,Halfway Bush,Dunedin,9042,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,Halfway Bush,Central Ward,170.465984,-45.857001,4,51,34,12,5,0,0,0,0
3746,Hampden School,03 4394603,03 4394605,hampden@xtra.co.nz,John Laing,,41-47 Norwich Street,,Hampden,41-47 Norwich Street,,Hampden,9410,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waitaki District,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,Hampden,Waihemo Ward,170.815932,-45.325318,5,37,22,15,0,0,0,0,0
3747,Hawea Flat School,03 4431467,03 4431459,office@haweaflat.school.nz,Suzanne Heath,http://www.haweaflat.schoolzone.net.nz,576 Camphill Road RD 2,Hawea Flat,Wanaka,576 Camp Hill Road,RD 2,Wanaka,9382,Rural Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Queenstown-Lakes District,Otago Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Hawea,Wanaka Ward,169.291049,-44.651718,10,177,155,20,0,0,1,1,0
3749,Heriot School,03 2042007,03 2042007,secretary@heriot.school.nz,Colin McHutchon,http://www.heriot.school.nz/,181 Roxburgh Street RD 2,Heriot,Tapanui,181 Roxburgh Street,RD 2,Tapanui,9587,Rural Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Clutha District,Otago Region,Dunedin,Otago/Southland,Clutha-Southland,Te Tai Tonga,Tuapeka,West Otago Ward,169.273189,-45.839156,8,50,43,6,0,1,0,0,0
3753,Kaikorai School,03 4640065,03 4667236,secretary@kaikorai.school.nz,Simon Clarke,http://www.kaikorai.school.nz,22 Tyne Street,Roslyn,Dunedin,22 Tyne Street,Roslyn,Dunedin,9010,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,Roslyn North,Central Ward,170.491007,-45.865445,9,306,255,25,5,15,1,5,0
3754,Kaitangata School,03 4139783,03 4139781,office@kaitangata.school.nz,Anneta Payne,http://www.kaitangataschool.co.nz/,108 Salcombe Street,,Kaitangata,108 Salcombe Street,,Kaitangata,9210,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Clutha District,Otago Region,Dunedin,Otago/Southland,Clutha-Southland,Te Tai Tonga,Kaitangata,Kaitangata-Matau Ward,169.852561,-46.280569,4,92,65,21,0,5,0,1,0
3755,Kakanui School,03 4395837,03 4395810,office@kakanui.school.nz,Ann Roughan,http://www.kakanui.school.nz/,Fyfe Place,,Kakanui,3 Fyfe Place,RD 14O,Oamaru,9495,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waitaki District,Otago Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Kakanui,Corriedale Ward,170.892819,-45.187258,4,22,15,5,0,2,0,0,0
3756,Karitane School,03 4657475,03 4657475,karitaneschool@xtra.co.nz,Nicola Philip,,Coast Road,,Karitane,Coast Road,RD 1,Waikouaiti,9471,Rural Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,Karitane,Waikouaiti Coast-Chalmers Ward,170.656252,-45.644196,8,31,18,9,2,1,1,0,0
3761,Lee Stream School,03 4891452,03 4891453,lss@leestream.school.nz,Philip Wheeler,http://www.leestream.school.nz/,Clarks Junction,,Dunedin,Lee Stream Road,RD 2,Outram,9074,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,Strath Taieri,Mosgiel-Taieri Ward,170.097552,-45.781768,6,24,20,4,0,0,0,0,0
3762,Macandrew Bay School,03 4761004,03 4761908,admin@macandrewbay.school.nz,Bernadette Newlands,http://macandrewbay.school.nz,488 Portobello Road,Macandrew Bay,Dunedin,488 Portobello Road,Macandrew Bay,Dunedin,9014,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,Macandrew Bay,Central Ward,170.597765,-45.869697,10,181,145,29,2,2,3,0,0
3764,Macraes Moonlight School,03 4652420,03 4652133,,John Fisher,http://www.macraesmoonlight.school.nz/,6 Hyde Street RD 3,Macraes Flat,Palmerston,6 Hyde Street,RD 3,Palmerston,9483,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waitaki District,Otago Region,Dunedin,Otago/Southland,Dunedin North,Te Tai Tonga,Waihemo,Waihemo Ward,170.428336,-45.381023,7,10,8,2,0,0,0,0,0
3765,Maheno School,03 4395707,03 4395707,,Ryan Fraser,http://www.maheno.school.nz/,Short Street,,Maheno,Gifford Street,RD 6O,Oamaru,9495,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waitaki District,Otago Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Maheno,Corriedale Ward,170.834255,-45.167295,5,50,46,3,0,1,0,0,0
